player_pair,pass_percentage_1,total_passes_1,pass_percentage_2,total_passes_2
"Briana Mastel, Carlee Turner",5.833333333,1.666666667,8,0.909090909
"Briana Mastel, Christina Putigna",3.333333333,0.416666667,0,0
"Briana Mastel, Jenna Rheault",0,0,0,0
"Briana Mastel, Jillian Dempsey",0,0.277777778,10,0.545454545
"Briana Mastel, Kaleigh Fratkin",10,0.138888889,10,0.181818182
"Briana Mastel, Lauren Kelly",0,0,0,0
"Briana Mastel, Lexie Laing",5,1.111111111,10,0.545454545
"Briana Mastel, Lovisa Selander",0,0,0,0
"Briana Mastel, Mallory Souliotis",0,0,10,0.181818182
"Briana Mastel, Mary Parker",5,0.555555556,0,0
"Briana Mastel, McKenna Brand",0,0.555555556,10,0.181818182
"Briana Mastel, Meaghan Rickard",8.75,1.111111111,10,0.545454545
"Briana Mastel, Meghara McManus",10,0.555555556,10,0.181818182
"Briana Mastel, Paige Capistran",10,0.138888889,0,0.181818182
"Briana Mastel, Samantha Davis",5.714285714,0.972222222,10,0.181818182
"Briana Mastel, Taylor Turnquist",10,3.194444444,7.692307692,2.363636364
"Briana Mastel, Taylor Wenczkowski",3.333333333,0.833333333,10,0.181818182
"Briana Mastel, Tereza Vanisova",8.181818182,1.527777778,10,1.636363636
"Briana Mastel, Tori Sullivan",5,1.111111111,10,0.545454545
"Briana Mastel, Victoria Hanson",0,0,10,0.181818182
"Briana Mastel, Alyson Matteau",0,0,0,0
"Briana Mastel, Autumn MacDougall",0,0,0,0
"Briana Mastel, Brittany Colton",0,0,0,0
"Briana Mastel, Brooke Stacey",0,0,0,0
"Briana Mastel, Carly Jackson",0,0,0,0
"Briana Mastel, Cassidy MacPherson",0,0,0,0
"Briana Mastel, Caty Flagg",0,0,0,0
"Briana Mastel, Dominique Kremer",0,0,0,0
"Briana Mastel, Erin Gehen",0,0,0,0
"Briana Mastel, Hunter Accursi",0,0,0,0
"Briana Mastel, Iveta Klimasova",0,0,0,0
"Briana Mastel, Jordan Juron",0,0,0,0
"Briana Mastel, Kayla Meneghin",0,0,0,0
"Briana Mastel, Kristin Lewicki",0,0,0,0
"Briana Mastel, Lenka Curmova",0,0,0,0
"Briana Mastel, Lisa Chesson",0,0,0,0
"Briana Mastel, Marie-Jo Pelletier",0,0,0,0
"Briana Mastel, Megan Delay",0,0,0,0
"Briana Mastel, Neve Van Pelt",0,0,0,0
"Briana Mastel, Taylor Wasylk",0,0,0,0
"Briana Mastel, Whitney Dove",0,0,0,0
"Briana Mastel, Abbie Ives",0,0,0,0
"Briana Mastel, Alyssa Wohlfeiler",0,0,0,0
"Briana Mastel, Amanda Conway",0,0,0,0
"Briana Mastel, Brooke Wolejko",0,0,0,0
"Briana Mastel, Elena Orlando",0,0,0,0
"Briana Mastel, Emma Vlasic",0,0,0,0
"Briana Mastel, Grace Klienbach",0,0,0,0
"Briana Mastel, Hanna Beattie",0,0,0,0
"Briana Mastel, Janine Weber",0,0,0,0
"Briana Mastel, Katelynn Russ",0,0,0,0
"Briana Mastel, Kaycie Anderson",0,0,0,0
"Briana Mastel, Kayla Friesen",0,0,0,0
"Briana Mastel, Laurel Hill",0,0,0,0
"Briana Mastel, Mackenzie Lancaster",0,0,0,0
"Briana Mastel, Maddie Bishop",0,0,0,0
"Briana Mastel, Maeve Reilly",0,0,0,0
"Briana Mastel, Maggie LaGue",0,0,0,0
"Briana Mastel, Mariah Fujimagari",0,0,0,0
"Briana Mastel, Nicole Guagliardo",0,0,0,0
"Briana Mastel, Rachael Ade",0,0,0,0
"Briana Mastel, Sarah Hughson",0,0,0,0
"Briana Mastel, Sarah Schwenzfeier",0,0,0,0
"Briana Mastel, Shannon Doyle",0,0,0,0
"Briana Mastel, Taylor Marchin",0,0,0,0
"Briana Mastel, Tori Howran",0,0,0,0
"Briana Mastel, Allie Olnowich",0,0,0,0
"Briana Mastel, Brooke Avery",0,0,0,0
"Briana Mastel, Cailey Hutchison",0,0,0,0
"Briana Mastel, Emily Janiga",0,0,0,0
"Briana Mastel, Jayne Lewis",0,0,0,0
"Briana Mastel, Kate Leary",0,0,0,0
"Briana Mastel, Kelly Babstock",0,0,0,0
"Briana Mastel, Kendall Cornine",0,0,0,0
"Briana Mastel, Kiira Dosdall",0,0,0,0
"Briana Mastel, Leila Kilduff",0,0,0,0
"Briana Mastel, Madison Packer",0,0,0,0
"Briana Mastel, Mallory Rushton",0,0,0,0
"Briana Mastel, Paige Voight",0,0,0,0
"Briana Mastel, Rebecca Morse",0,0,0,0
"Briana Mastel, Rebecca Russo",0,0,0,0
"Briana Mastel, Sammy Kolowrat",0,0,0,0
"Briana Mastel, Saroya Tinker",0,0,0,0
"Briana Mastel, Sonjia Shelly",0,0,0,0
"Briana Mastel, Tera Hofmann",0,0,0,0
"Briana Mastel, Theresa Knutson",0,0,0,0
"Briana Mastel, Allie Thunstrom",0,0,0,0
"Briana Mastel, Amanda Leveille",0,0,0,0
"Briana Mastel, Audra Richards",0,0,0,0
"Briana Mastel, Brooke White",0,0,0,0
"Briana Mastel, Chelsey Brodt-Rosenthal",0,0,0,0
"Briana Mastel, Emma Stauber",0,0,0,0
"Briana Mastel, Haley Mack",0,0,0,0
"Briana Mastel, Haylea Schmid",0,0,0,0
"Briana Mastel, Jonna Curtis",0,0,0,0
"Briana Mastel, Lynn Astrup",0,0,0,0
"Briana Mastel, Maddie Rowe",0,0,0,0
"Briana Mastel, Meaghan Pezon",0,0,0,0
"Briana Mastel, Meghan Lorence",0,0,0,0
"Briana Mastel, Nina Rodgers",0,0,0,0
"Briana Mastel, Rose Alleva",0,0,0,0
"Briana Mastel, Sara Bustad",0,0,0,0
"Briana Mastel, Stephanie Anderson",0,0,0,0
"Briana Mastel, Sydney Baldwin",0,0,0,0
"Briana Mastel, Winny Brodt-Brown",0,0,0,0
"Briana Mastel, Amy Curlew",0,0,0,0
"Briana Mastel, Breanne Wilson-Bennett",0,0,0,0
"Briana Mastel, Brooke Boquist",0,0,0,0
"Briana Mastel, Elaine Chuli",0,0,0,0
"Briana Mastel, Emily Fluke",0,0,0,0
"Briana Mastel, Emma Greco",0,0,0,0
"Briana Mastel, Emma Woods",0,0,0,0
"Briana Mastel, Julie Allen",0,0,0,0
"Briana Mastel, Kristen Barbara",0,0,0,0
"Briana Mastel, Lindsay Eastwood",0,0,0,0
"Briana Mastel, Mackenzie MacNeil",0,0,0,0
"Briana Mastel, Megan Quinn",0,0,0,0
"Briana Mastel, Mikyla Grant-Mentis",0,0,0,0
"Briana Mastel, Natalie Marcuzzi",0,0,0,0
"Briana Mastel, Samantha Ridgewell",0,0,0,0
"Briana Mastel, Sarah Steele",0,0,0,0
"Briana Mastel, Sarah-Eve Coutu Godbout",0,0,0,0
"Briana Mastel, Shiann Darkangelo",0,0,0,0
"Briana Mastel, Taylor Woods",0,0,0,0
"Briana Mastel, Taytum Clairmont",0,0,0,0
"Carlee Turner, Christina Putigna",10,0.138888889,3.333333333,1.090909091
"Carlee Turner, Jenna Rheault",10,0.138888889,10,0.181818182
"Carlee Turner, Jillian Dempsey",0,0,0,0
