,faceoff_rating
Shiann Darkangelo,7.7695
Jillian Dempsey,7.4335
Lexie Laing,6.4855
Tereza Vanisova,6.4510000000000005
Jordan Juron,6.3085
Sarah-Eve Coutu Godbout,6.064
Sara Bustad,6.032
Tori Sullivan,6.032
Meghan Lorence,6.032
Brooke White,6.032
Paige Voight,6.032
Breanne Wilson-Bennett,6.023000000000001
Emma Vlasic,5.9805
Stephanie Anderson,5.4445
Cassidy MacPherson,5.3985
Carlee Turner,5.1579999999999995
Taylor Wenczkowski,5.0425
Kayla Friesen,4.922499999999999
Taytum Clairmont,4.7315
Sarah Schwenzfeier,4.692
Cailey Hutchison,4.664
Jonna Curtis,4.493
Kendall Cornine,4.2989999999999995
Kelly Babstock,4.253500000000001
Theresa Knutson,4.098
Janine Weber,4.009
Katelynn Russ,3.9795
Mikyla Grant-Mentis,3.9305
Samantha Davis,3.9010000000000002
Haley Mack,3.8775
Natalie Marcuzzi,3.7225
Taylor Woods,3.6805
Audra Richards,3.6805
Emily Janiga,3.6385
Christina Putigna,3.51
Emily Fluke,3.4725
Amy Curlew,3.4725
McKenna Brand,3.384
Haylea Schmid,3.2515
Neve Van Pelt,3.129
Kaycie Anderson,3.064
Mallory Rushton,3.064
Brooke Stacey,2.9435000000000002
Julie Allen,2.88
Brooke Boquist,2.81
Mackenzie Lancaster,2.8095
Rebecca Russo,2.7105
Kayla Meneghin,2.67
Meaghan Pezon,2.3925
Sarah Hughson,2.286
Hunter Accursi,2.182
Kristin Lewicki,2.0940000000000003
Iveta Klimasova,2.0940000000000003
Taylor Wasylk,2.033
Brooke Avery,1.8865
Mackenzie MacNeil,1.8865
Meghara McManus,1.8499999999999999
Lynn Astrup,1.775
Nina Rodgers,1.609
Brittany Colton,1.111
Allie Thunstrom,1.0875
Madison Packer,0.9710000000000001
Meaghan Rickard,0.096
Autumn MacDougall,0.064
Rachael Ade,0.032
Maddie Bishop,0.032
Jayne Lewis,0.032
Amanda Conway,0.032
Mary Parker,0.032
Briana Mastel,
Jenna Rheault,
Kaleigh Fratkin,
Lauren Kelly,
Lovisa Selander,
Mallory Souliotis,
Paige Capistran,
Taylor Turnquist,
Victoria Hanson,
Alyson Matteau,
Carly Jackson,
Caty Flagg,
Dominique Kremer,
Erin Gehen,
Lenka Curmova,
Lisa Chesson,
Marie-Jo Pelletier,
Megan Delay,
Whitney Dove,
Abbie Ives,
Alyssa Wohlfeiler,
Brooke Wolejko,
Elena Orlando,
Grace Klienbach,
Hanna Beattie,
Laurel Hill,
Maeve Reilly,
Maggie LaGue,
Mariah Fujimagari,
Nicole Guagliardo,
Shannon Doyle,
Taylor Marchin,
Tori Howran,
Allie Olnowich,
Kate Leary,
Kiira Dosdall,
Leila Kilduff,
Rebecca Morse,
Sammy Kolowrat,
Saroya Tinker,
Sonjia Shelly,
Tera Hofmann,
Amanda Leveille,
Chelsey Brodt-Rosenthal,
Emma Stauber,
Maddie Rowe,
Rose Alleva,
Sydney Baldwin,
Winny Brodt-Brown,
Elaine Chuli,
Emma Greco,
Emma Woods,
Kristen Barbara,
Lindsay Eastwood,
Megan Quinn,
Samantha Ridgewell,
Sarah Steele,
