player_name,num_games_played,total_shots_made,total_goals_made,average_shots_made,average_shots_percentage,overall_shots_percentage,total_passes_made,total_plays_made,average_passes_made,average_passes_percentage,overall_passes_percentage,total_assists,total_dump_ins_made,average_dump_ins_made,average_dump_ins_percentage,overall_dump_ins_percentage,total_dump_outs_made,average_dump_outs_made,average_dump_outs_percentage,overall_dump_outs_percentage,total_zone_entries_made,average_zone_entries_made,total_takeaways_made,average_takeaways_made,total_puck_recoveries_made,average_puck_recoveries_made,total_faceoff_number,total_faceoff_wins,average_faceoff_wins,total_faceoff_losses,average_faceoff_losses,overall_faceoff_percentage,average_faceoff_percentage
Briana Mastel,6.67,2.24,0,2.89,0,0,3.05,2.82,4.18,5.19,4.82,0,2.17,2,1.11,2.5,5.65,6.5,1.5,1.82,0.32,0.41,2.07,2.29,4.35,6.01,0,0,0,0,0,,
Carlee Turner,10,3.97,0,3.65,0,0,2.36,2.32,2.22,5.72,5.54,0,1.3,0.86,0,0,6.96,5.71,1.19,1.43,3.23,2.96,4.83,3.81,2.67,2.48,4.64,4.05,3.47,3.56,2.86,5.52,5.48
Christina Putigna,10,6.72,4,6.19,1.29,1.79,4.35,4.02,4.25,5.2,4.81,6.67,6.96,4.57,2.14,3.33,1.74,1.43,0,0,6.61,6.06,4.83,3.81,4.35,4.2,0.4,0.38,0.33,0.27,0.22,6,5
Jenna Rheault,3.33,0.69,0,1.48,0,0,0.91,0.83,2.01,4.29,4.84,0,0.87,1.33,0,0,0.43,0.83,0,0,0.81,1.72,1.38,2.54,1.03,2.27,0,0,0,0,0,,
Jillian Dempsey,8.33,4.66,6,5,2.06,3.89,3.47,3.28,3.95,5.39,5.03,6.67,1.3,1,0,0,3.04,2.92,0,0,3.06,3.28,7.59,6.98,3.06,3.41,7.76,8.86,8.86,3.7,3.46,7.22,7.21
Kaleigh Fratkin,10,6.21,0,5.71,0,0,10,10,10,5.89,5.66,3.33,7.83,5.14,1.67,2,10,8.21,0.9,2.11,3.71,3.4,5.52,4.35,10,10,0,0,0,0,0,,
Lauren Kelly,10,7.59,4,6.98,0.67,1.59,6.59,5.85,6.52,4.8,4.37,0,9.57,6.29,1.05,1.58,8.26,6.79,0.33,1.18,3.23,2.96,6.55,5.17,7.46,7.39,0,0,0,0,0,,
Lexie Laing,10,4.14,2,3.81,0.48,1.46,3.63,3.07,3.51,4.13,3.92,3.33,4.35,2.86,0.56,1.11,5.65,4.64,0.83,1.82,3.87,3.55,5.86,4.63,3.15,2.96,7.52,6.96,5.97,5.34,4.29,5.85,5.72
Lovisa Selander,6.67,0,0,0,,,0.69,0.91,0.82,8.5,9.33,0,0,0,,,0,0,,,0,0,0,0,0.91,1.05,0,0,0,0,0,,
Mallory Souliotis,10,6.03,6,5.56,1.29,3,7.79,7.22,7.75,5.11,4.81,0,3.91,2.57,0.5,1.25,7.83,6.43,0.71,1.25,2.9,2.66,7.59,5.99,8.41,8.36,0,0,0,0,0,,
Mary Parker,5,1.72,0,2.78,0,0,1.42,1.37,2.37,5.76,5.33,0,2.61,3,0.83,2,1.74,2.5,5,10,2.42,3.88,2.07,2.86,1.55,2.56,0.08,0,0,0.14,0.19,0,0
McKenna Brand,10,10,6,9.21,1.1,1.81,5.29,5.85,5.2,7.05,6.91,10,7.39,4.86,3.57,4.17,3.04,2.5,2,1.67,8.87,8.13,2.41,1.9,4.74,4.6,0.96,0.76,0.65,0.82,0.66,5,5
Meaghan Rickard,10,3.45,4,3.17,1.11,3.5,1.48,1.16,1.32,3.79,3.28,0,4.35,2.86,1.67,1.11,1.3,1.07,0,0,4.19,3.84,4.14,3.27,2.03,1.81,0.24,0,0,0.41,0.33,0,0
Meghara McManus,10,4.31,2,3.97,0.95,1.4,1.75,1.24,1.6,3.06,2.41,0,4.78,3.14,3.33,3.75,6.52,5.36,1,1.54,5.97,5.47,5.86,4.63,2.16,1.95,0.56,0.25,0.22,0.68,0.55,2.86,2.5
Paige Capistran,10,2.76,0,2.54,0,0,4.5,3.98,4.4,4.98,4.35,0,5.22,3.43,0,0,4.35,3.57,1,1.11,1.29,1.18,2.76,2.18,5.78,5.66,0,0,0,0,0,,
Samantha Davis,10,6.55,8,6.03,2.16,3.68,5.02,4.9,4.92,5.68,5.4,0,6.09,4,3.39,4,3.04,2.5,1.88,7.5,8.71,7.98,6.21,4.9,4.74,4.6,0.64,0.63,0.54,0.41,0.33,6.25,5.83
Taylor Turnquist,10,6.72,0,6.19,0,0,6.07,6.1,6,5.9,5.72,3.33,5.65,3.71,2.08,1.82,6.96,5.71,1.19,2.31,3.71,3.4,5.86,4.63,6.68,6.59,0,0,0,0,0,,
Taylor Wenczkowski,10,6.38,2,5.87,0.32,0.95,3.69,3.78,3.57,6.15,5.97,0,3.91,2.57,2,1.25,4.35,3.57,3.83,6.67,3.06,2.81,3.1,2.45,3.84,3.67,0.4,0.51,0.43,0.14,0.11,8,8.33
Tereza Vanisova,10,5.17,0,4.76,0,0,5.2,5.68,5.11,7.01,6.76,3.33,1.74,1.14,2.5,3.33,0.43,0.36,0,0,10,9.16,5.86,4.63,4.96,4.82,6.16,6.46,5.53,3.56,2.86,6.62,6.68
Tori Sullivan,10,2.24,0,2.06,0,0,3.05,3.53,2.92,6.99,7.49,0,2.61,1.71,0,0,1.74,1.43,0,0,3.39,3.1,4.83,3.81,2.46,2.26,0.08,0.13,0.11,0,0,10,10
Victoria Hanson,3.33,0,0,0,,,0.33,0.46,0.65,10,10,0,0,0,,,0.43,0.83,0,0,0,0,0.34,0.63,0.47,0.93,0,0,0,0,0,,
Alyson Matteau,8.33,3.97,0,4.26,0,0,5.38,5.35,6.21,5.95,5.62,3.33,3.48,2.67,1.25,1.43,5.22,5,0,0,2.74,2.93,9.66,8.89,6.34,7.33,0,0,0,0,0,,
