player_name,scoring_rating
Mikyla Grant-Mentis,7.1405
Taylor Woods,5.8905
Samantha Davis,5.6605
Autumn MacDougall,5.3335
Cailey Hutchison,4.7775
McKenna Brand,4.7665
Jillian Dempsey,4.471
Mallory Souliotis,4.2855
Leila Kilduff,3.9425
Audra Richards,3.8315
Katelynn Russ,3.6325
Brooke Boquist,3.622
Winny Brodt-Brown,3.585
Haley Mack,3.56
Christina Putigna,3.38
Nina Rodgers,3.3765
Lauren Kelly,3.2815
Kristin Lewicki,3.262
Breanne Wilson-Bennett,3.207
Mackenzie MacNeil,3.167
Meaghan Rickard,2.864
Emily Janiga,2.665
Kayla Friesen,2.547
Emma Vlasic,2.541
Sydney Baldwin,2.5225
Emily Fluke,2.4985
Amy Curlew,2.443
Alyssa Wohlfeiler,2.391
Sarah-Eve Coutu Godbout,2.341
Lisa Chesson,2.332
Haylea Schmid,2.332
Meaghan Pezon,2.25
Tori Howran,2.244
Jonna Curtis,2.2245
Rebecca Russo,2.221
Theresa Knutson,2.1795
Lindsay Eastwood,2.1745
Amanda Conway,2.0435
Jordan Juron,2.002
Taylor Wenczkowski,1.9925
Kaycie Anderson,1.9755
Mallory Rushton,1.943
Meghara McManus,1.928
Megan Quinn,1.9095
Lexie Laing,1.7395
Taytum Clairmont,1.6685
Janine Weber,1.209
Emma Woods,1.167
Allie Thunstrom,1.167
Rebecca Morse,1.056
Shiann Darkangelo,1.0005
Kiira Dosdall,0.945
Taylor Turnquist,0.9285
Maggie LaGue,0.9165
Meghan Lorence,0.8745
Natalie Marcuzzi,0.861
Kaleigh Fratkin,0.8565
Madison Packer,0.834
Shannon Doyle,0.792
Kelly Babstock,0.7785
Stephanie Anderson,0.75
Tereza Vanisova,0.714
Rachael Ade,0.666
Brooke Stacey,0.666
Whitney Dove,0.639
Alyson Matteau,0.639
Taylor Wasylk,0.6255
Mackenzie Lancaster,0.6105
Kendall Cornine,0.6105
Nicole Guagliardo,0.5835
Kate Leary,0.555
Allie Olnowich,0.555
Carlee Turner,0.5475
Marie-Jo Pelletier,0.528
Cassidy MacPherson,0.528
Sara Bustad,0.4995
Sarah Schwenzfeier,0.4995
Erin Gehen,0.4995
Sarah Steele,0.4725
Emma Greco,0.4725
Hanna Beattie,0.459
Emma Stauber,0.459
Dominique Kremer,0.444
Briana Mastel,0.4335
Mary Parker,0.417
Taylor Marchin,0.417
Maddie Rowe,0.417
Lenka Curmova,0.417
Megan Delay,0.3885
Saroya Tinker,0.3885
Paige Capistran,0.381
Sarah Hughson,0.333
Grace Klienbach,0.333
Iveta Klimasova,0.333
Tori Sullivan,0.309
Kristen Barbara,0.291
Sammy Kolowrat,0.2775
Paige Voight,0.2775
Laurel Hill,0.2505
Elena Orlando,0.2505
Jenna Rheault,0.222
Neve Van Pelt,0.1995
Hunter Accursi,0.195
Jayne Lewis,0.1665
Maeve Reilly,0.1665
Maddie Bishop,0.1665
Brittany Colton,0.1395
Chelsey Brodt-Rosenthal,0.1245
Kayla Meneghin,0.111
Rose Alleva,0.111
Julie Allen,0.084
Lynn Astrup,0.084
Lovisa Selander,
Victoria Hanson,
Carly Jackson,
Caty Flagg,
Abbie Ives,
Brooke Wolejko,
Mariah Fujimagari,
Brooke Avery,
Sonjia Shelly,
Tera Hofmann,
Amanda Leveille,
Brooke White,
Elaine Chuli,
Samantha Ridgewell,
