Jersey Number,Name,Team,Position,GamePlayed,Goals,Assists,Points,PointsPerGameAVG,PenaltyMIns,Scoring%,GameWinningGoals,Plus/Minus,ShotsOnGoal,BlockedOpponentShots,Giveaways,Takeaways,Faceoff Win/Loss,PowerPlayGoals,ShortHandedGoals,Faceoff%,ShotsBlockedbyOppo,Shots
13,Kaleigh Fratkin,PrideBoston Pride,D,7,0,9,9,1.3,8,0,0,14,11,15,1,2,0 - 2,0,0,0,9,20
13,Mikyla Grant-Mentis,TorontoToronto Toronto,F,6,5,4,9,1.5,4,0.128,2,8,28,4,4,2,22 - 14,1,0,0.611,11,39
21,Christina Putigna,PrideBoston Pride,F,7,2,6,8,1.1,2,0.069,0,9,24,2,0,3,0 - 0,1,0,0,5,29
17,McKenna Brand,PrideBoston Pride,F,7,3,4,7,1,4,0.075,1,12,25,0,0,3,6-Apr,1,0,0.4,15,40
14,Jillian Dempsey,PrideBoston Pride,F,7,3,3,6,0.9,0,0.158,1,8,16,1,2,2,68 - 31,2,0,0.687,3,19
44,Lindsay Eastwood,TorontoToronto Toronto,D,6,1,5,6,1,4,0.048,0,7,9,2,3,2,0 - 0,1,0,0,12,21
23,Nina Rodgers,WhitecapsMinnesota Whitecaps,F,4,2,4,6,1.5,6,0.2,0,5,9,3,1,2,4-Jan,2,0,0.2,1,10
8,Alyssa Wohlfeiler,WhaleConnecticut Whale,F,4,1,4,5,1.3,4,0.063,0,1,13,0,2,0,0 - 0,0,0,0,3,16
42,Meghara McManus,PrideBoston Pride,F,7,2,3,5,0.7,4,0.087,0,2,20,2,0,4,5-Feb,0,0,0.286,3,23
19,Sammy Davis,PrideBoston Pride,F,7,4,1,5,0.7,2,0.2,0,2,17,0,3,4,1-Feb,1,0,0.667,3,20
2,Taylor Woods,TorontoToronto Toronto,F,6,4,1,5,0.8,10,0.125,0,3,18,9,2,1,1-Feb,1,0,0.667,14,32
21,Amy Curlew,TorontoToronto Toronto,F,6,0,4,4,0.7,4,0,0,3,3,2,0,0,3-Mar,0,0,0.5,2,5
21,Audra Morrison,WhitecapsMinnesota Whitecaps,F,4,1,3,4,1,2,0.111,0,3,7,3,2,4,0 - 1,0,1,0,2,9
11,Breanne Wilson-Bennett,TorontoToronto Toronto,F,6,2,2,4,0.7,2,0.074,0,0,23,2,5,5,47 - 34,1,0,0.58,4,27
19,Brooke Boquist,TorontoToronto Toronto,F,4,2,2,4,1,4,0.077,0,2,18,1,0,1,2-Feb,1,0,0.5,8,26
15,Emma Vlasic,WhaleConnecticut Whale,F,4,1,3,4,1,2,0.083,0,1,10,1,0,2,45 - 34,1,0,0.57,2,12
67,Emma Woods,TorontoToronto Toronto,F,4,0,4,4,1,0,0,0,2,22,0,1,1,0 - 0,0,0,0,6,28
25,Kristin Lewicki,BeautsBuffalo Beauts,F,6,2,2,4,0.7,0,0.125,0,2,15,2,1,1,1-Feb,1,0,0.667,1,16
20,Meghan Lorence,WhitecapsMinnesota Whitecaps,F,4,0,4,4,1,2,0,0,0,11,4,1,4,Jan-00,0,0,1,3,14
9,Autumn MacDougall,BeautsBuffalo Beauts,F,6,3,0,3,0.5,0,0.158,0,1,15,0,2,0,0 - 0,0,0,0,4,19
